id,schoolId,name,slug,degreeType,format,tuitionTotal,tuitionPerCredit,totalCredits,durationMonths,gmatRequired,greAccepted,accreditation,specializations,startDates,applicationDeadline,acceptanceRate,classSize,avgSalaryPost,usNewsRank,fortuneRank,asyncPercentage,description,pros,cons,ourRating,affiliateUrl,leadPartner,isFeatured,isPublished,createdAt,updatedAt
1,1,Online MBA,usc-online-mba,MBA,online,66000.00,,,21,0,1,"""[\""AACSB\""]""","""[\""Finance\"",\""Marketing\"",\""Entrepreneurship\""]""","""[\""January\"",\""May\"",\""August\""]""",,,,,,,,USC's online MBA combines academic rigor with flexibility for working professionals.,"""[\""Top-ranked program\"",\""No GMAT required\"",\""Strong alumni network\"",\""Flexible schedule\""]""","""[\""Higher tuition cost\"",\""Competitive admissions\""]""",4.80,,,1,1,2026-02-05 21:33:30,2026-02-05 21:33:30
2,2,Online MBA,unc-online-mba,MBA,online,123000.00,,,24,0,1,"""[\""AACSB\""]""","""[\""Finance\"",\""Strategy\"",\""Marketing\""]""","""[\""January\"",\""August\""]""",,,,,,,,UNC Kenan-Flagler's online MBA is consistently ranked among the best.,"""[\""Elite program reputation\"",\""No GMAT required\"",\""Immersive experiences\"",\""Strong career support\""]""","""[\""Premium pricing\"",\""Highly selective\""]""",4.90,,,1,1,2026-02-05 21:33:30,2026-02-05 21:33:30
3,3,Kelley Direct Online MBA,indiana-kelley-online-mba,MBA,online,72000.00,,,24,0,1,"""[\""AACSB\""]""","""[\""Finance\"",\""Marketing\"",\""Supply Chain\""]""","""[\""January\"",\""June\"",\""August\""]""",,,,,,,,Indiana Kelley offers a highly-ranked online MBA with no GMAT requirement.,"""[\""No GMAT required\"",\""Affordable tuition\"",\""Strong brand recognition\"",\""Flexible pacing\""]""","""[\""Limited networking events\"",\""Self-paced requires discipline\""]""",4.70,,,1,1,2026-02-05 21:33:30,2026-02-05 21:33:30
4,4,Online MBA,carnegie-mellon-online-mba,MBA,online,140000.00,,,32,1,1,"""[\""AACSB\""]""","""[\""Data Analytics\"",\""Technology\"",\""Finance\""]""","""[\""August\""]""",,,,,,,,CMU Tepper's online MBA emphasizes analytical skills and technology.,"""[\""Strong in analytics\"",\""Tech-focused curriculum\"",\""Prestigious degree\"",\""Global network\""]""","""[\""GMAT required\"",\""Higher cost\"",\""Longer duration\""]""",4.60,,,0,1,2026-02-05 21:33:30,2026-02-05 21:33:30
5,5,Online MBA,florida-warrington-online-mba,MBA,online,32000.00,,,16,0,1,"""[\""AACSB\""]""","""[\""Finance\"",\""Marketing\"",\""Entrepreneurship\"",\""Healthcare\""]""","""[\""January\"",\""May\"",\""August\""]""",,,,,,,,UF's online MBA offers exceptional value with AACSB accreditation.,"""[\""Very affordable\"",\""No GMAT required\"",\""Fast completion\"",\""AACSB accredited\""]""","""[\""Less brand recognition nationally\"",\""Fewer specializations\""]""",4.50,,,1,1,2026-02-05 21:33:30,2026-02-05 21:33:30
30001,30001,Master of Business Administration,georgia-southwestern-state-university-master-of-business-administration,MBA,hybrid,7710.00,,41,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,98,Master of Business Administration at Georgia Southwestern State University. Comprehensive business education. Flexible online format designed for working professionals.,,,3.58,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30002,30002,Master of Business Administration,fayetteville-state-university-master-of-business-administration,MBA,hybrid,9026.00,,31,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,94,Master of Business Administration at Fayetteville State University. Comprehensive business education. Flexible online format designed for working professionals.,,,4.99,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30004,30003,Master of Business Administration,east-carolina-university-master-of-business-administration,MBA,hybrid,9541.00,,42,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,84,Master of Business Administration at East Carolina University. Comprehensive business education. Flexible online format designed for working professionals.,,,4.69,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30006,30004,Master of Business Administration,the-university-of-texas-permian-basin-master-of-business-administration,MBA,hybrid,10680.00,,44,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,73,Master of Business Administration at The University of Texas Permian Basin. Comprehensive business education. Flexible online format designed for working professionals.,,,4.48,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30007,30005,Master of Business Administration,texas-a-m-international-university-master-of-business-administration,MBA,hybrid,10991.00,,43,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,88,Master of Business Administration at Texas A&M International University. Comprehensive business education. Flexible online format designed for working professionals.,,,3.89,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30008,30005,Online MBA,texas-a-m-international-university-online-mba,MBA,hybrid,25000.00,,47,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,75,Online MBA at Texas A&M International University. Comprehensive business education. Flexible online format designed for working professionals.,,,3.80,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30010,30006,Master of Business Administration,university-of-north-carolina-at-pembroke-master-of-business-administration,MBA,hybrid,11025.00,,46,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,73,Master of Business Administration at University of North Carolina at Pembroke. Comprehensive business education. Flexible online format designed for working professionals.,,,3.74,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30011,30007,Master of Business Administration,pittsburg-state-university-master-of-business-administration,MBA,hybrid,11250.00,,46,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,76,Master of Business Administration at Pittsburg State University. Comprehensive business education. Flexible online format designed for working professionals.,,,4.77,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30013,30008,Master of Business Administration,texas-a-m-university-kingsville-master-of-business-administration,MBA,hybrid,11342.00,,38,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,84,Master of Business Administration at Texas A&M University-Kingsville. Comprehensive business education. Flexible online format designed for working professionals.,,,4.48,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30014,30009,Master of Business Administration,arkansas-tech-university-master-of-business-administration,MBA,hybrid,11691.00,,41,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,90,Master of Business Administration at Arkansas Tech University. Comprehensive business education. Flexible online format designed for working professionals.,,,4.34,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30015,30010,Master of Business Administration,texas-a-m-university-texarkana-master-of-business-administration,MBA,hybrid,11843.00,,31,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,70,Master of Business Administration at Texas A&M University-Texarkana. Comprehensive business education. Flexible online format designed for working professionals.,,,4.15,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30016,30011,Master of Business Administration,emporia-state-university-master-of-business-administration,MBA,hybrid,11979.00,,44,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,91,Master of Business Administration at Emporia State University. Comprehensive business education. Flexible online format designed for working professionals.,,,4.24,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30018,30012,Master of Business Administration,university-of-central-arkansas-master-of-business-administration,MBA,hybrid,12017.00,,37,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,88,Master of Business Administration at University of Central Arkansas. Comprehensive business education. Flexible online format designed for working professionals.,,,3.54,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30019,30013,Master of Business Administration,southern-arkansas-university-master-of-business-administration,MBA,hybrid,12080.00,,36,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,82,Master of Business Administration at Southern Arkansas University. Comprehensive business education. Flexible online format designed for working professionals.,,,3.84,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
30020,30014,Master of Business Administration,southeastern-oklahoma-state-university-master-of-business-administration,MBA,hybrid,12132.00,,40,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,82,Master of Business Administration at Southeastern Oklahoma State University. Comprehensive business education. Flexible online format designed for working professionals.,,,3.95,,,0,1,2026-02-05 22:22:38,2026-02-05 22:22:38
