name,url,type,description,services,title,meta_description,emails,phones,scraped_at
Triumvirate Environmental,https://www.triumvirate.com,cleaning_service,"Laboratory cleaning, decontamination, and waste management","['Lab cleaning', 'Chemical decontamination', 'Waste disposal', 'Emergency response']",Environmental Services &amp; EHS Consulting for All Industries | Triumvirate Environmental,"Triumvirate Environmental delivers environmental services to organizations in the life sciences, healthcare, higher ed, and advanced manufacturing sectors.",[],"['888-834-9697', '800-966-9282']",2026-02-19T07:10:08.018164
Clean Harbors,https://www.cleanharbors.com,cleaning_service,Lab decontamination and hazardous waste services,"['Hazardous waste', 'Lab decommissioning', 'Chemical cleaning', 'Emergency spill response']",Environmental and Industrial Services | Clean Harbors,"Everywhere industry meets environment, Clean Harbors is on-site, providing premier environmental and industrial services.",[],['800.645.8265'],2026-02-19T07:10:08.333661
Veolia North America,https://www.veolianorthamerica.com,cleaning_service,Environmental services and lab waste management,"['Waste management', 'Lab cleaning', 'Environmental compliance', 'Water treatment']",Veolia North America,"Veolia North America works with organizations across the US and Canada to address their environmental and sustainability challenges in water, waste and energy.",[],[],2026-02-19T07:10:09.136384
STERIS,https://www.steris.com,sterilization,Lab sterilization and infection prevention,"['Lab sterilization', 'Equipment sterilization', 'Infection control', 'Validation services']",Welcome to STERIS | STERIS,STERIS is a leading provider of infection prevention and other procedural products and services. Learn more here.,[],['440.354.2600'],2026-02-19T07:10:09.608306
Ecolab,https://www.ecolab.com,cleaning_products,Cleaning and sanitizing solutions for labs,"['Lab cleaning products', 'Sanitization', 'Water systems', 'Infection prevention']",,,,,
Diversey,https://www.diversey.com,cleaning_products,Cleaning and hygiene solutions,"['Cleaning chemicals', 'Lab hygiene', 'Training', 'Equipment']",,,,,
Sealed Air,https://www.sealedair.com,cleaning_products,Cleaning and sanitization products,"['Sanitization', 'Cleaning systems', 'Food safety', 'Lab hygiene']","Sealed Air - Protective and Food Packaging, Automation &amp; Healthcare","Whether it’s protecting products, preserving food, or providing healthcare solutions, our products and services, along with our commitment to sustainability, have made Sealed Air a leader in protecting everything that’s important to your business.",[],[],2026-02-19T07:10:10.345451
Stericycle,https://www.stericycle.com,waste_management,Medical and lab waste disposal,"['Waste disposal', 'Sharps disposal', 'Lab waste', 'Compliance solutions']",Attention Required! | Cloudflare,,[],[],2026-02-19T07:10:10.490587
Sharps Compliance,https://www.sharpsinc.com,waste_management,Medical waste management solutions,"['Waste disposal', 'Mail-back programs', 'Pharmaceutical waste', 'Lab waste']",Medical Waste Disposal &amp; Sharps Containers | Sharps MWS,"Sharps MWS provides compliant, const effective medical waste disposal &amp; sharps container services nationwide. Transparent pricing and reliable pickup. Get a free quote today!",[],['800.772.5657'],2026-02-19T07:10:11.526880
Daniels Health,https://danielshealth.com,waste_management,Healthcare and lab waste management,"['Sharps disposal', 'Lab waste', 'Waste containers', 'Sustainable solutions']",Medical Waste Disposal &amp; Management | Daniels Health,"At Daniels Health, we&#039;ve provided medical waste management and disposal services for over 20 years and proudly hold the highest NPS scores in the industry.",[],['888 952 5580'],2026-02-19T07:10:12.029476
