post_title,post_content,post_excerpt,post_status,meta_url,meta_email,meta_phone,meta_address,meta_city,meta_state,meta_zip,meta_country,meta_type,meta_services,meta_founded,meta_employees,meta_revenue,meta_ticker,meta_parent,meta_linkedin,meta_twitter,meta_facebook
Triumvirate Environmental,"Full-service environmental services company specializing in laboratory decontamination, hazardous waste management, and EHS consulting for life sciences, healthcare, and industrial sectors.","Full-service environmental services company specializing in laboratory decontamination, hazardous waste management, and EHS consulting for life scienc...",draft,https://www.triumvirate.com,"info@triumvirate.com, sales@triumvirate.com","888-834-9697, 800-966-9282","101 Billerica Rd, North Billerica, MA 01862",North Billerica,MA,01862,USA,cleaning_service,"Lab cleaning, Chemical decontamination, Waste disposal, Emergency response",1990,500-1000,$100M+,,,https://www.linkedin.com/company/triumvirate-environmental,https://twitter.com/TriumvirateEnv,https://www.facebook.com/TriumvirateEnv
Clean Harbors,"Leading provider of environmental and industrial services, including hazardous waste management, lab decommissioning, and emergency response.","Leading provider of environmental and industrial services, including hazardous waste management, lab decommissioning, and emergency response.",draft,https://www.cleanharbors.com,"info@cleanharbors.com, customerservice@cleanharbors.com",800.645.8265,"42 Pine St, Norwell, MA 02061",Norwell,MA,02061,USA,cleaning_service,"Hazardous waste, Lab decommissioning, Chemical cleaning, Emergency spill response",1980,10000+,$4B+,CLH,,https://www.linkedin.com/company/clean-harbors,https://twitter.com/CleanHarbors,https://www.facebook.com/cleanharbors
Veolia North America,"Global leader in environmental services, providing water treatment, waste management, and lab cleaning services across North America.","Global leader in environmental services, providing water treatment, waste management, and lab cleaning services across North America.",draft,https://www.veolianorthamerica.com,"info@veoliana.com, customer.service@veoliana.com",,"200 Andover St, Danvers, MA 01923",Danvers,MA,01923,USA,cleaning_service,"Waste management, Lab cleaning, Environmental compliance, Water treatment",1853,10000+,$10B+,,Veolia Environnement (France),https://www.linkedin.com/company/veolia-north-america,https://twitter.com/VeoliaNA,https://www.facebook.com/VeoliaNorthAmerica
STERIS,"Leading provider of infection prevention, contamination control, and sterilization products and services for laboratories and healthcare facilities.","Leading provider of infection prevention, contamination control, and sterilization products and services for laboratories and healthcare facilities.",draft,https://www.steris.com,"info@steris.com, customerservice@steris.com",440.354.2600,"5960 Heisley Rd, Mentor, OH 44060",Mentor,OH,44060,USA,sterilization,"Lab sterilization, Equipment sterilization, Infection control, Validation services",1987,5000+,$3B+,STE,,https://www.linkedin.com/company/steris,https://twitter.com/STERIS,https://www.facebook.com/STERISplc
Ecolab,"Global leader in water, hygiene, and infection prevention solutions, providing cleaning products and sanitization services for laboratories.","Global leader in water, hygiene, and infection prevention solutions, providing cleaning products and sanitization services for laboratories.",draft,https://www.ecolab.com,"info@ecolab.com, customerservice@ecolab.com",,"1 Ecolab Pl, St. Paul, MN 55102",St. Paul,MN,55102,USA,cleaning_products,"Lab cleaning products, Sanitization, Water systems, Infection prevention",1923,45000+,$14B+,ECL,,https://www.linkedin.com/company/ecolab,https://twitter.com/ecolab,https://www.facebook.com/Ecolab
Diversey,"Global provider of cleaning and hygiene solutions, specializing in infection prevention and environmental services for laboratories and healthcare.","Global provider of cleaning and hygiene solutions, specializing in infection prevention and environmental services for laboratories and healthcare.",draft,https://www.diversey.com,"info@diversey.com, customerservice@diversey.com",,"2325 Wauer Rd, Allentown, PA 18104",Allentown,PA,18104,USA,cleaning_products,"Cleaning chemicals, Lab hygiene, Training, Equipment",1923,3000+,,,Solentand Capital,https://www.linkedin.com/company/diversey,https://twitter.com/Diversey,https://www.facebook.com/Diversey
Sealed Air,Cleaning and sanitization products,Cleaning and sanitization products,draft,https://www.sealedair.com,,,,,,,USA,cleaning_products,"Sanitization, Cleaning systems, Food safety, Lab hygiene",,,,,,,,
Stericycle,"Leading provider of medical waste management, sharps disposal, and compliance solutions for laboratories and healthcare facilities.","Leading provider of medical waste management, sharps disposal, and compliance solutions for laboratories and healthcare facilities.",draft,https://www.stericycle.com,"info@stericycle.com, customerservice@stericycle.com",,"1450 American Ln, Bannockburn, IL 60015",Bannockburn,IL,60015,USA,waste_management,"Waste disposal, Sharps disposal, Lab waste, Compliance solutions",1989,15000+,$3B+,SRCL,,https://www.linkedin.com/company/stericycle,https://twitter.com/Stericycle,https://www.facebook.com/Stericycle
Sharps Compliance,Medical waste management solutions,Medical waste management solutions,draft,https://www.sharpsinc.com,,800.772.5657,,,,,USA,waste_management,"Waste disposal, Mail-back programs, Pharmaceutical waste, Lab waste",,,,,,,,
Daniels Health,"Healthcare safety company providing sharps disposal, medical waste management, and laboratory waste solutions.","Healthcare safety company providing sharps disposal, medical waste management, and laboratory waste solutions.",draft,https://danielshealth.com,"info@danielshealth.com, customerservice@danielshealth.com",888 952 5580,"1400 American Ln, Bannockburn, IL 60015",Bannockburn,IL,60015,USA,waste_management,"Sharps disposal, Lab waste, Waste containers, Sustainable solutions",1955,500+,,,Sharps Compliance,https://www.linkedin.com/company/daniels-health,https://twitter.com/DanielsHealth,https://www.facebook.com/DanielsHealth
