post_title,post_content,post_excerpt,post_status,post_type,meta_url,meta_email,meta_phone,meta_type,meta_services,meta_address,categories
Triumvirate Environmental,"<p>Laboratory cleaning, decontamination, and waste management</p>","Laboratory cleaning, decontamination, and waste management",draft,lab_supplier,https://www.triumvirate.com,,888-834-9697,cleaning_service,"Lab cleaning, Chemical decontamination, Waste disposal, Emergency response",,cleaning_service
Clean Harbors,<p>Lab decontamination and hazardous waste services</p>,Lab decontamination and hazardous waste services,draft,lab_supplier,https://www.cleanharbors.com,,800.645.8265,cleaning_service,"Hazardous waste, Lab decommissioning, Chemical cleaning, Emergency spill response",,cleaning_service
Veolia North America,<p>Environmental services and lab waste management</p>,Environmental services and lab waste management,draft,lab_supplier,https://www.veolianorthamerica.com,,,cleaning_service,"Waste management, Lab cleaning, Environmental compliance, Water treatment",,cleaning_service
STERIS,<p>Lab sterilization and infection prevention</p>,Lab sterilization and infection prevention,draft,lab_supplier,https://www.steris.com,,440.354.2600,sterilization,"Lab sterilization, Equipment sterilization, Infection control, Validation services",,sterilization
Ecolab,<p>Cleaning and sanitizing solutions for labs</p>,Cleaning and sanitizing solutions for labs,draft,lab_supplier,https://www.ecolab.com,,,cleaning_products,"Lab cleaning products, Sanitization, Water systems, Infection prevention",,cleaning_products
Diversey,<p>Cleaning and hygiene solutions</p>,Cleaning and hygiene solutions,draft,lab_supplier,https://www.diversey.com,,,cleaning_products,"Cleaning chemicals, Lab hygiene, Training, Equipment",,cleaning_products
Sealed Air,<p>Cleaning and sanitization products</p>,Cleaning and sanitization products,draft,lab_supplier,https://www.sealedair.com,,,cleaning_products,"Sanitization, Cleaning systems, Food safety, Lab hygiene",,cleaning_products
Stericycle,<p>Medical and lab waste disposal</p>,Medical and lab waste disposal,draft,lab_supplier,https://www.stericycle.com,,,waste_management,"Waste disposal, Sharps disposal, Lab waste, Compliance solutions",,waste_management
Sharps Compliance,<p>Medical waste management solutions</p>,Medical waste management solutions,draft,lab_supplier,https://www.sharpsinc.com,,800.772.5657,waste_management,"Waste disposal, Mail-back programs, Pharmaceutical waste, Lab waste",,waste_management
Daniels Health,<p>Healthcare and lab waste management</p>,Healthcare and lab waste management,draft,lab_supplier,https://danielshealth.com,,888 952 5580,waste_management,"Sharps disposal, Lab waste, Waste containers, Sustainable solutions",,waste_management
Republic Services,<p>Environmental services including lab waste</p>,Environmental services including lab waste,draft,lab_supplier,https://www.republicservices.com,,,waste_management,"Waste disposal, Recycling, Lab waste services, Sustainability",,waste_management
Waste Management,<p>Comprehensive waste services including labs</p>,Comprehensive waste services including labs,draft,lab_supplier,https://www.wm.com,,,waste_management,"Hazardous waste, Lab disposal, Environmental services, Compliance",,waste_management
Kimberly-Clark Professional,<p>Lab cleaning and safety products</p>,Lab cleaning and safety products,draft,lab_supplier,https://www.kcprofessional.com,,,cleaning_products,"Wipes, Cleaning products, PPE, Lab supplies",,cleaning_products
3M Health Care,<p>Healthcare and lab cleaning products</p>,Healthcare and lab cleaning products,draft,lab_supplier,https://www.3m.com/3M/en_US/healthcare/,,,cleaning_products,"Disinfectants, Cleaning solutions, Infection control, Lab supplies",,cleaning_products
CloroxPro,<p>Professional cleaning and disinfection</p>,Professional cleaning and disinfection,draft,lab_supplier,https://www.cloroxpro.com,,888-797-7225,cleaning_products,"Disinfectants, Cleaners, Lab sanitation, Training",,cleaning_products
Betco,<p>Professional cleaning solutions</p>,Professional cleaning solutions,draft,lab_supplier,https://www.betco.com,,877-856-5954,cleaning_products,"Cleaning chemicals, Disinfectants, Training, Equipment",,cleaning_products
ABC Laboratories,<p>Lab testing and analytical services</p>,Lab testing and analytical services,draft,lab_supplier,https://www.abclabs.com,,,analytical_lab,"Analytical testing, Lab services, Research, Testing",,analytical_lab
Eurofins Scientific,<p>Lab testing and analysis</p>,Lab testing and analysis,draft,lab_supplier,https://www.eurofinsus.com,,,analytical_lab,"Lab testing, Analytical services, Research, Quality control",,analytical_lab
ALS Limited,<p>Laboratory testing services</p>,Laboratory testing services,draft,lab_supplier,https://www.alsglobal.com,,281-575-2290,analytical_lab,"Lab testing, Environmental testing, Food testing, Forensics",,analytical_lab
NSF International,<p>Lab testing and certification</p>,Lab testing and certification,draft,lab_supplier,https://www.nsf.org,,,testing_certification,"Lab certification, Testing, Standards, Audits",,testing_certification
UL Solutions,<p>Safety testing and certification</p>,Safety testing and certification,draft,lab_supplier,https://www.ul.com,,,testing_certification,"Lab testing, Certification, Safety testing, Standards",,testing_certification
Intertek,<p>Quality and safety testing</p>,Quality and safety testing,draft,lab_supplier,https://www.intertek.com,,800 967 5352,testing_certification,"Lab testing, Inspection, Certification, Assurance",,testing_certification
SGS,"<p>Testing, inspection and certification</p>","Testing, inspection and certification",draft,lab_supplier,https://www.sgs.com,,,testing_certification,"Lab testing, Inspection, Certification, Verification",,testing_certification
Bureau Veritas,"<p>Testing, inspection and certification</p>","Testing, inspection and certification",draft,lab_supplier,https://www.bureauveritas.com,,,testing_certification,"Lab testing, Inspection, Certification, Compliance",,testing_certification
Noxilico,<p>Lab decontamination and decommissioning</p>,Lab decontamination and decommissioning,draft,lab_supplier,https://www.noxilico.com,,,lab_decommissioning,"Lab decommissioning, Decontamination, Chemical clearance, Equipment disposal",,lab_decommissioning
Chemistry Rx,<p>Lab equipment and services</p>,Lab equipment and services,draft,lab_supplier,https://www.chemistryrx.com,info@chemistryrx.com,267-861-0862,lab_services,"Lab equipment, Glassware cleaning, Sterilization, Calibration",,lab_services
Avantor Services,<p>Lab services and solutions</p>,Lab services and solutions,draft,lab_supplier,https://avantorsciences.com,,,lab_services,"Lab equipment, Cleaning validation, Calibration, Training",,lab_services
Thermo Fisher Scientific Services,<p>Lab equipment and service</p>,Lab equipment and service,draft,lab_supplier,https://www.thermofisher.com,,1771485018,lab_services,"Equipment service, Calibration, Validation, Training",,lab_services
Agilent CrossLab,<p>Lab instrument services</p>,Lab instrument services,draft,lab_supplier,https://www.agilent.com,,1771485019,lab_services,"Instrument service, Calibration, Training, Support",,lab_services
Waters Corporation Services,<p>Chromatography system services</p>,Chromatography system services,draft,lab_supplier,https://www.waters.com,,,lab_services,"Instrument service, Preventive maintenance, Training, Validation",,lab_services
Shimadzu Scientific Instruments,<p>Analytical instrument services</p>,Analytical instrument services,draft,lab_supplier,https://www.ssi.shimadzu.com,,,lab_services,"Service, Support, Training, Calibration",,lab_services
PerkinElmer Services,<p>Lab equipment and services</p>,Lab equipment and services,draft,lab_supplier,https://www.perkinelmer.com,,,lab_services,"Instrument service, Applications support, Training, Validation",,lab_services
Beckman Coulter Life Sciences,<p>Centrifuge and lab services</p>,Centrifuge and lab services,draft,lab_supplier,https://www.beckmancoulter.com,,,lab_services,"Service, Preventive maintenance, Training, Validation",,lab_services
Bio-Rad Laboratories Services,<p>Life science equipment service</p>,Life science equipment service,draft,lab_supplier,https://www.bio-rad.com,,1771485020,lab_services,"Service, Support, Training, Applications",,lab_services
Eppendorf Service,<p>Lab equipment service</p>,Lab equipment service,draft,lab_supplier,https://www.eppendorf.com,,,lab_services,"Service, Calibration, Training, Repair",,lab_services
Sartorius Services,<p>Lab and bioprocess services</p>,Lab and bioprocess services,draft,lab_supplier,https://www.sartorius.com,,,lab_services,"Service, Validation, Training, Applications",,lab_services
Metler Toledo Service,<p>Lab balance and scale service</p>,Lab balance and scale service,draft,lab_supplier,https://www.mt.com,,,lab_services,"Calibration, Service, Training, Validation",,lab_services
Cytiva,<p>Bioprocessing lab services</p>,Bioprocessing lab services,draft,lab_supplier,https://www.cytiva.com,,,lab_services,"Service, Validation, Training, Applications",,lab_services
Danaher,<p>Lab diagnostics and services</p>,Lab diagnostics and services,draft,lab_supplier,https://www.danaher.com,,,lab_services,"Service, Support, Training, Applications",,lab_services
Labconco,<p>Fume hoods and lab equipment</p>,Fume hoods and lab equipment,draft,lab_supplier,https://www.labconco.com,,,equipment_manufacturer,"Equipment, Installation, Service, Certification",,equipment_manufacturer
NuAire,<p>Biological safety cabinets</p>,Biological safety cabinets,draft,lab_supplier,https://www.nuaire.com,,763-553-1270,equipment_manufacturer,"Equipment, Installation, Certification, Service",,equipment_manufacturer
The Baker Company,<p>Biological safety cabinets</p>,Biological safety cabinets,draft,lab_supplier,https://www.bakerco.com,,,equipment_manufacturer,"Equipment, Installation, Certification, Service",,equipment_manufacturer
Air Science,<p>Fume hoods and enclosures</p>,Fume hoods and enclosures,draft,lab_supplier,https://www.airscience.com,info@airscience.com,(239) 489-0024,equipment_manufacturer,"Equipment, Installation, Service, Filters",,equipment_manufacturer
Bertsche,<p>Lab relocation and decommissioning</p>,Lab relocation and decommissioning,draft,lab_supplier,https://www.bertsche.com,,,lab_decommissioning,"Lab relocation, Decommissioning, Decontamination, Moving",,lab_decommissioning
